restaurant_name,year_month,review_count,avg_final_score,positive_ratio,negative_ratio,neutral_ratio,positive_change,negative_change,sentiment_event
99 Grill,2022-05,19,0.22,63.2,26.3,10.5,,,Stable
99 Grill,2022-06,11,0.29,63.6,27.3,9.1,0.3999999999999986,1.00,Stable
99 Grill,2022-07,25,0.21,56.0,20.0,24.0,-7.60,-7.30,Stable
99 Grill,2022-08,12,0.32,75.0,25.0,0.0,19.00,5.00,Sentiment Spike
99 Grill,2022-10,19,-0.14,21.1,47.4,31.6,-53.90,22.40,Sentiment Drop
99 Grill,2022-11,13,0.16,46.2,38.5,15.4,25.10,-8.90,Sentiment Spike
99 Grill,2024-03,40,0.32,85.0,7.5,7.5,38.80,-31.00,Sentiment Spike
99 Grill,2024-04,120,0.31,84.2,8.3,7.5,-0.80,0.8000000000000007,Stable
99 Grill,2024-05,30,0.17,66.7,26.7,6.7,-17.50,18.40,Sentiment Drop
99 Grill,2024-06,38,0.17,63.2,23.7,13.2,-3.50,-3.00,Stable
99 Grill,2024-07,29,0.17,58.6,27.6,13.8,-4.60,3.900000000000002,Stable
99 Grill,2024-08,17,-0.02,52.9,41.2,5.9,-5.70,13.600000000000001,Stable
99 Grill,2024-09,10,0.13,50.0,20.0,30.0,-2.90,-21.20,Stable
99 Grill,2024-10,13,-0.32,7.7,61.5,30.8,-42.30,41.50,Sentiment Drop
99 Grill,2024-11,23,-0.10,26.1,47.8,26.1,18.400000000000002,-13.70,Sentiment Spike
99 Grill,2024-12,12,-0.10,41.7,50.0,8.3,15.600000000000001,2.200000000000003,Sentiment Spike
99 Grill,2025-01,22,-0.13,22.7,63.6,13.6,-19.00,13.600000000000001,Sentiment Drop
99 Grill,2025-04,22,0.09,40.9,36.4,22.7,18.20,-27.20,Sentiment Spike
99 Grill,2025-05,17,-0.22,29.4,58.8,11.8,-11.50,22.40,Stable
99 Grill,2025-06,31,0.01,35.5,41.9,22.6,6.100000000000001,-16.90,Stable
99 Grill,2025-07,29,0.25,62.1,24.1,13.8,26.60,-17.80,Sentiment Spike
99 Grill,2025-08,29,0.38,69.0,17.2,13.8,6.899999999999999,-6.90,Stable
99 Grill,2025-09,24,0.40,66.7,16.7,16.7,-2.30,-0.50,Stable
99 Grill,2025-10,22,0.20,45.5,27.3,27.3,-21.20,10.600000000000001,Sentiment Drop
99 Grill,2025-11,26,0.29,57.7,23.1,19.2,12.200000000000003,-4.20,Stable
Buffalo Wings Rings,2024-04,15,0.33,80.0,0.0,20.0,,,Stable
Buffalo Wings Rings,2025-02,12,-0.27,16.7,75.0,8.3,-63.30,75.00,Sentiment Drop
Buffalo Wings Rings,2025-03,10,-0.14,20.0,60.0,20.0,3.3000000000000007,-15.00,Stable
Burger Maker,2022-11,23,-0.11,34.8,47.8,17.4,,,Stable
Burger Maker,2022-12,21,-0.18,23.8,57.1,19.0,-11.00,9.300000000000004,Stable
Burger Maker,2023-01,16,-0.06,37.5,50.0,12.5,13.70,-7.10,Stable
Burger Maker,2023-03,13,-0.07,23.1,46.2,30.8,-14.40,-3.80,Stable
Burger Maker,2023-04,22,0.03,36.4,45.5,18.2,13.299999999999997,-0.70,Stable
Burger Maker,2023-05,10,0.09,40.0,30.0,30.0,3.6000000000000014,-15.50,Stable
Burger Maker,2023-06,12,-0.29,8.3,66.7,25.0,-31.70,36.70,Sentiment Drop
Burger Maker,2024-03,35,0.16,62.9,17.1,20.0,54.599999999999994,-49.60,Sentiment Spike
Burger Maker,2024-04,100,0.22,67.0,17.0,16.0,4.100000000000001,-0.10,Stable
Burger Maker,2024-05,19,0.15,57.9,26.3,15.8,-9.10,9.30,Stable
Burger Maker,2024-06,15,0.07,60.0,33.3,6.7,2.1000000000000014,6.9999999999999964,Stable
Burger Maker,2024-07,17,0.30,58.8,11.8,29.4,-1.20,-21.50,Stable
Burger Maker,2024-08,15,-0.06,33.3,40.0,26.7,-25.50,28.20,Sentiment Drop
Burger Maker,2024-11,16,-0.03,25.0,37.5,37.5,-8.30,-2.50,Stable
Burger Maker,2024-12,28,-0.16,14.3,57.1,28.6,-10.70,19.60,Stable
Burger Maker,2025-01,30,-0.11,30.0,56.7,13.3,15.70,-0.40,Sentiment Spike
Burger Maker,2025-02,28,0.06,39.3,42.9,17.9,9.299999999999997,-13.80,Stable
Burger Maker,2025-03,23,-0.10,26.1,56.5,17.4,-13.20,13.600000000000001,Stable
Burger Maker,2025-04,33,0.08,39.4,36.4,24.2,13.299999999999997,-20.10,Stable
Burger Maker,2025-05,31,0.05,35.5,38.7,25.8,-3.90,2.3000000000000043,Stable
Burger Maker,2025-06,45,-0.09,24.4,46.7,28.9,-11.10,8.00,Stable
Burger Maker,2025-07,24,-0.09,25.0,41.7,33.3,0.6000000000000014,-5.00,Stable
Burger Maker,2025-08,14,-0.15,28.6,64.3,7.1,3.6000000000000014,22.599999999999994,Stable
Burger Maker,2025-09,23,0.05,39.1,52.2,8.7,10.50,-12.10,Stable
Burger Maker,2025-10,17,-0.08,23.5,52.9,23.5,-15.60,0.6999999999999957,Sentiment Drop
Burger Maker,2025-11,16,-0.13,12.5,56.2,31.2,-11.00,3.3000000000000043,Stable
Chicken Kingdom,2024-05,27,0.06,44.4,29.6,25.9,,,Stable
Chicken Kingdom,2024-06,66,0.20,60.6,30.3,9.1,16.200000000000003,0.6999999999999993,Sentiment Spike
Chicken Kingdom,2024-07,65,0.22,60.0,23.1,16.9,-0.60,-7.20,Stable
Chicken Kingdom,2024-08,44,0.20,61.4,18.2,20.5,1.3999999999999986,-4.90,Stable
Chicken Kingdom,2024-09,40,0.12,52.5,37.5,10.0,-8.90,19.30,Stable
Chicken Kingdom,2024-10,33,0.00,30.3,36.4,33.3,-22.20,-1.10,Sentiment Drop
Chicken Kingdom,2024-11,74,-0.05,32.4,47.3,20.3,2.099999999999998,10.899999999999999,Stable
Chicken Kingdom,2024-12,66,-0.02,33.3,51.5,15.2,0.8999999999999986,4.200000000000003,Stable
Chicken Kingdom,2025-01,61,-0.17,21.3,62.3,16.4,-12.00,10.799999999999997,Stable
Chicken Kingdom,2025-02,47,0.00,34.0,44.7,21.3,12.70,-17.60,Stable
Chicken Kingdom,2025-03,65,0.10,49.2,38.5,12.3,15.200000000000003,-6.20,Sentiment Spike
Chicken Kingdom,2025-04,82,0.15,47.6,35.4,17.1,-1.60,-3.10,Stable
Chicken Kingdom,2025-05,245,0.31,62.9,24.9,12.2,15.299999999999997,-10.50,Sentiment Spike
Chicken Kingdom,2025-06,254,0.37,66.1,16.1,17.7,3.1999999999999957,-8.80,Stable
Chicken Kingdom,2025-07,70,0.13,50.0,34.3,15.7,-16.10,18.199999999999996,Sentiment Drop
Chicken Kingdom,2025-08,47,0.25,66.0,29.8,4.3,16.00,-4.50,Sentiment Spike
