restaurant_name,year_month,detected_problem,problem_count,problem_percentage
99 Grill,2022-03,Cleanliness,1,14.3
99 Grill,2022-03,Delivery Speed,1,14.3
99 Grill,2022-03,Missing / Wrong Items,1,14.3
99 Grill,2022-03,Other,1,14.3
99 Grill,2022-03,Price / Value,1,14.3
99 Grill,2022-03,Service,1,14.3
99 Grill,2022-03,Taste & Flavor,1,14.3
99 Grill,2022-05,Missing / Wrong Items,5,11.4
99 Grill,2022-05,Other,5,11.4
99 Grill,2022-05,Portion Size,5,11.4
99 Grill,2022-05,Price / Value,5,11.4
99 Grill,2022-05,Service,5,11.4
99 Grill,2022-05,Taste & Flavor,5,11.4
99 Grill,2022-05,Cleanliness,4,9.1
99 Grill,2022-05,Delivery Speed,4,9.1
99 Grill,2022-05,Incorrect Billing,3,6.8
99 Grill,2022-05,Packaging,2,4.5
99 Grill,2022-05,Food Temperature,1,2.3
99 Grill,2022-06,Missing / Wrong Items,3,15.8
99 Grill,2022-06,Service,3,15.8
99 Grill,2022-06,Taste & Flavor,3,15.8
99 Grill,2022-06,Cleanliness,2,10.5
99 Grill,2022-06,Incorrect Billing,2,10.5
99 Grill,2022-06,Portion Size,2,10.5
99 Grill,2022-06,Price / Value,2,10.5
99 Grill,2022-06,Delivery Speed,1,5.3
99 Grill,2022-06,Other,1,5.3
99 Grill,2022-07,Incorrect Billing,5,11.4
99 Grill,2022-07,Missing / Wrong Items,5,11.4
99 Grill,2022-07,Other,5,11.4
99 Grill,2022-07,Price / Value,5,11.4
99 Grill,2022-07,Service,5,11.4
99 Grill,2022-07,Taste & Flavor,5,11.4
99 Grill,2022-07,Delivery Speed,4,9.1
99 Grill,2022-07,Portion Size,4,9.1
99 Grill,2022-07,Packaging,3,6.8
99 Grill,2022-07,Cleanliness,2,4.5
99 Grill,2022-07,Food Temperature,1,2.3
99 Grill,2022-08,Incorrect Billing,3,13.6
99 Grill,2022-08,Missing / Wrong Items,3,13.6
99 Grill,2022-08,Service,3,13.6
99 Grill,2022-08,Taste & Flavor,3,13.6
99 Grill,2022-08,Food Temperature,2,9.1
99 Grill,2022-08,Other,2,9.1
99 Grill,2022-08,Portion Size,2,9.1
99 Grill,2022-08,Cleanliness,1,4.5
99 Grill,2022-08,Delivery Speed,1,4.5
99 Grill,2022-08,Packaging,1,4.5
99 Grill,2022-08,Price / Value,1,4.5
99 Grill,2022-09,Cleanliness,3,14.3
99 Grill,2022-09,Missing / Wrong Items,3,14.3
99 Grill,2022-09,Service,3,14.3
99 Grill,2022-09,Taste & Flavor,3,14.3
99 Grill,2022-09,Delivery Speed,2,9.5
99 Grill,2022-09,Incorrect Billing,2,9.5
99 Grill,2022-09,Other,2,9.5
99 Grill,2022-09,Price / Value,2,9.5
99 Grill,2022-09,Portion Size,1,4.8
99 Grill,2022-10,Missing / Wrong Items,9,13.0
99 Grill,2022-10,Taste & Flavor,9,13.0
99 Grill,2022-10,Price / Value,8,11.6
99 Grill,2022-10,Service,8,11.6
99 Grill,2022-10,Incorrect Billing,7,10.1
99 Grill,2022-10,Portion Size,7,10.1
99 Grill,2022-10,Cleanliness,6,8.7
99 Grill,2022-10,Delivery Speed,6,8.7
99 Grill,2022-10,Other,4,5.8
99 Grill,2022-10,Packaging,3,4.3
99 Grill,2022-10,Food Temperature,2,2.9
99 Grill,2022-11,Missing / Wrong Items,4,14.8
99 Grill,2022-11,Taste & Flavor,4,14.8
99 Grill,2022-11,Cleanliness,3,11.1
99 Grill,2022-11,Delivery Speed,3,11.1
99 Grill,2022-11,Portion Size,3,11.1
99 Grill,2022-11,Price / Value,3,11.1
99 Grill,2022-11,Service,3,11.1
99 Grill,2022-11,Food Temperature,2,7.4
99 Grill,2022-11,Incorrect Billing,1,3.7
99 Grill,2022-11,Other,1,3.7
99 Grill,2022-12,Missing / Wrong Items,2,20.0
99 Grill,2022-12,Portion Size,2,20.0
99 Grill,2022-12,Service,2,20.0
99 Grill,2022-12,Taste & Flavor,2,20.0
99 Grill,2022-12,Food Temperature,1,10.0
99 Grill,2022-12,Incorrect Billing,1,10.0
99 Grill,2023-01,Incorrect Billing,2,18.2
99 Grill,2023-01,Missing / Wrong Items,2,18.2
99 Grill,2023-01,Taste & Flavor,2,18.2
99 Grill,2023-01,Cleanliness,1,9.1
99 Grill,2023-01,Delivery Speed,1,9.1
99 Grill,2023-01,Other,1,9.1
99 Grill,2023-01,Price / Value,1,9.1
99 Grill,2023-01,Service,1,9.1
99 Grill,2023-02,Cleanliness,2,13.3
99 Grill,2023-02,Missing / Wrong Items,2,13.3
99 Grill,2023-02,Other,2,13.3
99 Grill,2023-02,Price / Value,2,13.3
99 Grill,2023-02,Service,2,13.3
99 Grill,2023-02,Taste & Flavor,2,13.3
99 Grill,2023-02,Delivery Speed,1,6.7
99 Grill,2023-02,Incorrect Billing,1,6.7
99 Grill,2023-02,Portion Size,1,6.7
99 Grill,2023-03,Portion Size,4,17.4
99 Grill,2023-03,Taste & Flavor,4,17.4
99 Grill,2023-03,Incorrect Billing,3,13.0
99 Grill,2023-03,Missing / Wrong Items,3,13.0
99 Grill,2023-03,Service,3,13.0
99 Grill,2023-03,Other,2,8.7
99 Grill,2023-03,Price / Value,2,8.7
99 Grill,2023-03,Cleanliness,1,4.3
99 Grill,2023-03,Delivery Speed,1,4.3
99 Grill,2023-04,Incorrect Billing,2,18.2
99 Grill,2023-04,Other,2,18.2
99 Grill,2023-04,Cleanliness,1,9.1
99 Grill,2023-04,Delivery Speed,1,9.1
99 Grill,2023-04,Missing / Wrong Items,1,9.1
99 Grill,2023-04,Portion Size,1,9.1
99 Grill,2023-04,Price / Value,1,9.1
99 Grill,2023-04,Service,1,9.1
99 Grill,2023-04,Taste & Flavor,1,9.1
99 Grill,2023-05,Cleanliness,1,10.0
99 Grill,2023-05,Delivery Speed,1,10.0
99 Grill,2023-05,Incorrect Billing,1,10.0
99 Grill,2023-05,Missing / Wrong Items,1,10.0
99 Grill,2023-05,Other,1,10.0
99 Grill,2023-05,Packaging,1,10.0
99 Grill,2023-05,Portion Size,1,10.0
99 Grill,2023-05,Price / Value,1,10.0
99 Grill,2023-05,Service,1,10.0
99 Grill,2023-05,Taste & Flavor,1,10.0
99 Grill,2023-06,Incorrect Billing,2,15.4
99 Grill,2023-06,Missing / Wrong Items,2,15.4
99 Grill,2023-06,Other,2,15.4
99 Grill,2023-06,Service,2,15.4
