restaurant_name,review_date,rating,review_text
99 Grill,27 November 2025,5,perfect 🙌🏻
99 Grill,27 November 2025,1,أسواء مطعم في الأردن
99 Grill,22 November 2025,1,طعم اللحمة وريحة الوجبة جدا سيئين! تجربة لا تعاد
99 Grill,22 November 2025,5,كتيييير زاكي  الاكل
99 Grill,21 November 2025,3,I asked for pickles they didn't add any
99 Grill,19 November 2025,5,very good
99 Grill,13 November 2025,2,الخبز مفتفت وبايت والبرجر ناشف يدوب حاطين نقطه صوص
99 Grill,12 November 2025,5,تجربة رائعة❤️
99 Grill,12 November 2025,5,الخدمة ممتازة والاكل كان كثير زاكي
99 Grill,12 November 2025,5,great food
99 Grill,12 November 2025,5,quality is very excellent 👌 and all is fresh.
99 Grill,12 November 2025,5,اسطوري
99 Grill,12 November 2025,5,طلبت ترافل برجر و كتييييير زاكية 👍🏻
99 Grill,08 November 2025,1,البطاطا ما اجتني متل ما طلبت انا طلبت بطاطا كيرلي اجاني بطاطا عادي
99 Grill,07 November 2025,1,طعم الدجاج كان واضح
99 Grill,06 November 2025,1,the food was so bad
99 Grill,05 November 2025,5,ممتاز جدا واشي فخم صراحة
99 Grill,05 November 2025,5,ممتاز
99 Grill,04 November 2025,1,Quality issue
99 Grill,02 November 2025,5,very delicious
99 Grill,01 November 2025,5,التقييم فوق التقيييم ، سخنه والخبز فريش والجاج رهيب ونضيف يعني حرفياً 10/10 يتم اعتمادددد فخورة فيكم ! جد رهيب
99 Grill,01 November 2025,5,It was great!
99 Grill,01 November 2025,5,الوجبة كثير زاكية ، وحجم البرغر كثير مناسب ... بنحب نكرر هذه التجربة ... شكرا على الجودة والإتقان
99 Grill,01 November 2025,5,كثير زاكييي🖤
99 Grill,01 November 2025,5,بشهييي واللحمة طرية و جوووووسي والاكل بيوصل ساخن اهم اشي وما بياخد وقت كتير ليوصل الطلب  ❤️❤️❤️❤️❤️❤️❤️❤️
99 Grill,01 November 2025,5,juicy & tasty
99 Grill,30 October 2025,5,"Crunchy chicken was delicious,  the taste was great keep up with good food."
99 Grill,30 October 2025,2,البطاطا المكس لها رائحة احتراق
99 Grill,30 October 2025,1,طلبت ماتركس اب وصلني ماتركس كولا
99 Grill,28 October 2025,3,portion small
99 Grill,28 October 2025,5,كتير زاكي
99 Grill,27 October 2025,5,great... simply great
99 Grill,26 October 2025,4,طيب بس الجاج صغير والخبزة كبيرة
99 Grill,24 October 2025,5,الاكل كان زاكي الصراحة
99 Grill,23 October 2025,5,Everything was fresh and flavorful. Highly recommend
99 Grill,23 October 2025,5,the food was amazing really recommend it 👍🏻
99 Grill,22 October 2025,5,it was really delicious thank you so much
99 Grill,22 October 2025,1,لذيييييييييذ جداً
99 Grill,20 October 2025,1,الطعام بارد كثير كثير
99 Grill,18 October 2025,2,اللحم له ريحه وطعمه سيئ
99 Grill,14 October 2025,5,تعامل راقي واحترافي ✨
99 Grill,13 October 2025,4,yum😝
